# Created by Octave 4.0.0, Mon Apr 17 15:59:23 2017 CEST <ray11@ray11-X202E>
# name: res
# type: matrix
# rows: 10
# columns: 2
 10 10.36889332003988
 20 6.231306081754735
 30 5.43369890329013
 40 4.93519441674975
 50 5.18444666001994
 60 5.18444666001994
 70 5.234297108673978
 80 5.333998005982054
 90 5.43369890329013
 100 5.43369890329013


