# Created by Octave 4.0.0, Mon Apr 17 16:00:08 2017 CEST <ray11@ray11-X202E>
# name: res
# type: matrix
# rows: 9
# columns: 2
 1 64.25722831505483
 2 51.69491525423729
 3 43.22033898305084
 4 29.46161515453639
 5 25.17447657028913
 6 20.73778664007976
 7 17.04885343968096
 8 14.70588235294118
 9 12.71186440677966


