# Created by Octave 4.0.0, Sat Apr 22 22:22:17 2017 CEST <ray11@ray11-X202E>
# name: res
# type: matrix
# rows: 9
# columns: 2
 1 57.77666999002991
 2 45.66301096709871
 3 38.2851445663011
 4 23.18045862412762
 5 17.59720837487538
 6 14.00797607178465
 7 12.06380857427717
 8 11.21635094715852
 9 10.66799601196411


